"Source:","C:\Program Files\KiCad\share\kicad\Brewnode\Brewnode_PCB\Brewnode_PCB.sch"
"Date:","2020-09-16 23:47:58"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","79"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Mfc"
"9","1","J17","16p FPC","Connector_Generic:Conn_01x16","","https://datasheet.lcsc.com/szlcsc/1811021340_THD-THD0510-16CL-GF_C283123.pdf","C283123","THD0510-16CL-GF"
"10","8","JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8","Jumper_2_Open","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"11","4","K1, K2, K3, K4","SANYOU_SRD_Form_C","Relay:SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","https://datasheet.lcsc.com/szlcsc/1811021933_Ningbo-Songle-Relay-SRD-05VDC-SL-C_C35449.pdf","C35449","SRD-05VDC-SL-C"
"12","4","Q1, Q2, Q3, Q4","FDN340P","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","C75469","FDN340P"
"13","4","Q5, Q6, Q7, Q8","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C52895","BSS138"
"14","1","R1","220Ohm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810241809_UNI-ROYAL-Uniroyal-Elec-0805W8F2200T5E_C17557.pdf","C17557","0805W8F2200T5E"
"15","1","R2","100Ohm","Device:R","","https://datasheet.lcsc.com/szlcsc/1809062111_UNI-ROYAL-Uniroyal-Elec-0805W8F1000T5E_C17408.pdf","C17408","0805W8F1000T5E"
"16","12","R3, R4, R5, R6, R15, R16, R17, R18, R19, R20, R21, R22","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1002T5E"
"17","8","R7, R8, R9, R10, R11, R12, R13, R14","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"18","4","R23, R24, R25, R26","4.7kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1808281533_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
"19","1","U1","PCF8574","Interface_Expansion:PCF8574","","https://datasheet.lcsc.com/szlcsc/1809261711_NXP-Semicon-PCF8574T-3-518_C7605.pdf","C7605","PCF8574T/3,518"
"20","1","U2","ADS1115IDGS","Analog_ADC:ADS1115IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm","https://datasheet.lcsc.com/szlcsc/1809192322_Texas-Instruments-ADS1115IDGSR_C37593.pdf","C37593","ADS1115IDGSR"
